Channel,DateFrom,DateTime,DateTo,identifier,Price,Section,source_timestamp
VPH,2018-12-14T06:08:34.000Z,2018-12-14T06:09:01.497Z,2018-12-14T07:30:00.000Z,95ec4b35-5fff-446a-8bab-75250997b0a2,20,P1-0375,2018-12-14 06:09:01.497
VPH,2018-12-14T06:08:10.000Z,2018-12-14T06:08:51.667Z,2018-12-14T08:30:00.000Z,accfcca6-32e5-4725-a59a-13ee64e4b736,30,P5-1522,2018-12-14 06:08:51.667
PARKMACHINE,2018-12-14T06:08:16.683Z,2018-12-14T06:08:44.310Z,2018-12-14T17:00:00.000Z,eb3246a4-c93f-49d7-8eda-e8234196e1c5,60,P4-0250,2018-12-14 06:08:44.31
PARKMACHINE,2018-12-14T06:08:10.347Z,2018-12-14T06:08:43.933Z,2018-12-14T08:00:00.000Z,55355051-22ec-4328-b7c9-66929921a775,40,P4-1710,2018-12-14 06:08:43.933
VPH,2018-12-14T06:08:00.000Z,2018-12-14T06:08:34.370Z,2018-12-14T08:15:00.000Z,ec3a915e-1a38-46a4-889d-7dbaa4766ba9,50,P2-0467,2018-12-14 06:08:34.37
VPH,2018-12-14T06:07:17.000Z,2018-12-14T06:08:23.213Z,2018-12-14T09:30:00.000Z,03035021-4e8d-402a-aa13-2e8aed642904,100,P1-0555,2018-12-14 06:08:23.213
VPH,2018-12-14T06:07:14.000Z,2018-12-14T06:08:16.933Z,2018-12-14T07:37:30.000Z,4ed4d019-e3be-4b56-bf35-07832154ca35,25,P7-0051,2018-12-14 06:08:16.933
VPH,2018-12-14T06:07:12.000Z,2018-12-14T06:08:11.277Z,2018-12-14T13:15:00.000Z,8abdb91b-73fd-47b2-8e97-e5878b55e33d,125,P5-1506,2018-12-14 06:08:11.277
VPH,2018-12-14T06:06:29.000Z,2018-12-14T06:08:04.357Z,2018-12-14T08:30:00.000Z,f122514c-ff14-472f-941a-abce0661e9aa,30,P4-0263,2018-12-14 06:08:04.357
VPH,2018-12-14T06:08:12.000Z,2018-12-14T06:08:03.793Z,2018-12-14T14:00:00.000Z,29223d9f-c851-428e-bd26-d20ae0c8a42b,70,P6-1305,2018-12-14 06:08:03.793
VPH,2018-12-14T06:07:33.000Z,2018-12-14T06:08:00.683Z,2018-12-14T08:45:00.000Z,62ab846f-a866-4e58-94b7-fefae182df73,70,P2-0205,2018-12-14 06:08:00.683
VPH,2018-12-14T06:05:48.000Z,2018-12-14T06:07:56.060Z,2018-12-14T07:54:00.000Z,c6589fc3-0228-4fbf-844b-279d520a3ea8,18,P6-1244,2018-12-14 06:07:56.06
VPH,2018-12-14T06:07:07.000Z,2018-12-14T06:07:54.277Z,2018-12-14T09:06:00.000Z,23f2007d-da75-4f18-b442-45126ff138b7,21,P6-1505,2018-12-14 06:07:54.277
VPH,2018-12-14T06:07:33.000Z,2018-12-14T06:07:50.840Z,2018-12-14T15:27:00.000Z,78fdd423-a79e-4876-b34f-b819a0fe8f37,169,P4-0247,2018-12-14 06:07:50.84
PARKMACHINE,2018-12-14T06:07:33.327Z,2018-12-14T06:07:49.543Z,2018-12-14T10:00:00.000Z,a14b8aab-aaa3-4115-b41d-bfc903f9e696,30,P4-0575,2018-12-14 06:07:49.543
PARKMACHINE,2018-12-14T06:07:34.173Z,2018-12-14T06:07:49.230Z,2018-12-14T08:00:00.000Z,9f648075-7299-49d2-860c-a6a96a6e03c5,30,P5-1162,2018-12-14 06:07:49.23
VPH,2018-12-14T06:06:37.000Z,2018-12-14T06:07:49.090Z,2018-12-14T13:30:00.000Z,c669be09-0e88-44ee-9462-90ec9d8d16ae,195,P4-1398,2018-12-14 06:07:49.09
VPH,2018-12-14T06:06:33.000Z,2018-12-14T06:07:43.043Z,2018-12-14T09:18:00.000Z,ae866b43-ef7f-4f63-a795-e9bb58b59cda,92,P3-0145,2018-12-14 06:07:43.043
VPH,2018-12-14T06:06:36.000Z,2018-12-14T06:07:40.260Z,2018-12-14T11:30:00.000Z,0bcb3b7c-fee5-4b2e-a550-dfbdeeb2cb89,90,P5-1216,2018-12-14 06:07:40.26
VPH,2018-12-14T06:06:23.000Z,2018-12-14T06:07:37.713Z,2018-12-14T08:45:00.000Z,cbd3b033-31e8-44e8-b162-2aa9bde2bd28,35,P4-1955,2018-12-14 06:07:37.713
VPH,2018-12-14T06:05:11.000Z,2018-12-14T06:07:10.997Z,2018-12-14T10:52:00.000Z,af036555-720a-4846-86c6-7b00e7a53207,116,P4-1660,2018-12-14 06:07:10.997
VPH,2018-12-14T06:07:20.000Z,2018-12-14T06:07:05.573Z,2018-12-14T08:00:00.000Z,08838bce-ead5-4712-b51a-a57a2ef96945,10,P6-1305,2018-12-14 06:07:05.573
VPH,2018-12-14T06:05:17.000Z,2018-12-14T06:06:59.607Z,2018-12-14T14:24:00.000Z,e853b629-8a7b-4cf3-ba93-fccac605ae17,74,P6-0486,2018-12-14 06:06:59.607
PARKMACHINE,2018-12-14T06:05:57.643Z,2018-12-14T06:06:56.950Z,2018-12-14T09:00:00.000Z,11470010-875c-45be-881b-c9a8122c9a51,120,P2-0117,2018-12-14 06:06:56.95
VPH,2018-12-14T06:05:50.000Z,2018-12-14T06:06:45.840Z,2018-12-14T13:37:30.000Z,1860cbdc-64df-4778-9684-3ea0804fdb0f,265,P2-0236,2018-12-14 06:06:45.84
VPH,2018-12-14T06:05:15.000Z,2018-12-14T06:06:36.637Z,2018-12-14T09:48:00.000Z,e752c3fc-ebe3-4a9f-94ff-c0a2f7ff2f6f,28,P5-2021,2018-12-14 06:06:36.637
VPH,2018-12-14T06:05:55.000Z,2018-12-14T06:06:32.090Z,2018-12-14T07:30:00.000Z,cdd722d0-3cf2-4a0e-9994-35c45b633117,20,P2-0202,2018-12-14 06:06:32.09
